   Elapsed time	   ECG1	   ECG2
       0:05.781	 -0.105	  0.005
       0:05.789	 -0.125	  0.005
       0:05.797	 -0.075	  0.005
       0:05.805	 -0.095	  0.015
       0:05.813	 -0.115	  0.005
       0:05.820	 -0.125	 -0.005
       0:05.828	 -0.125	 -0.015
       0:05.836	 -0.125	 -0.025
       0:05.844	 -0.125	 -0.025
       0:05.852	 -0.125	 -0.045
       0:05.859	 -0.085	 -0.045
       0:05.867	 -0.065	 -0.045
       0:05.875	 -0.065	 -0.035
       0:05.883	 -0.035	 -0.055
       0:05.891	 -0.035	 -0.055
       0:05.898	 -0.035	 -0.045
       0:05.906	 -0.025	 -0.055
       0:05.914	 -0.035	 -0.075
       0:05.922	 -0.035	 -0.075
       0:05.930	 -0.055	 -0.075
       0:05.938	 -0.045	 -0.075
       0:05.945	 -0.075	 -0.085
       0:05.953	 -0.055	 -0.085
       0:05.961	 -0.055	 -0.075
       0:05.969	 -0.075	 -0.085
       0:05.977	 -0.055	 -0.085
       0:05.984	 -0.095	 -0.095
       0:05.992	 -0.065	 -0.075
       0:06.000	 -0.055	 -0.075
       0:06.008	 -0.045	 -0.075
       0:06.016	 -0.065	 -0.065
       0:06.023	 -0.045	 -0.055
       0:06.031	 -0.045	 -0.065
       0:06.039	 -0.055	 -0.065
       0:06.047	 -0.025	 -0.065
       0:06.055	 -0.015	 -0.055
       0:06.063	 -0.015	 -0.065
       0:06.070	 -0.045	 -0.075
       0:06.078	 -0.035	 -0.065
       0:06.086	 -0.045	 -0.055
       0:06.094	 -0.045	 -0.065
       0:06.102	 -0.045	 -0.085
       0:06.109	 -0.035	 -0.075
       0:06.117	 -0.055	 -0.075
       0:06.125	 -0.055	 -0.075
       0:06.133	 -0.035	 -0.085
       0:06.141	 -0.055	 -0.095
       0:06.148	 -0.045	 -0.075
       0:06.156	 -0.025	 -0.075
       0:06.164	 -0.055	 -0.085
       0:06.172	 -0.065	 -0.085
       0:06.180	 -0.055	 -0.075
       0:06.188	 -0.035	 -0.075
       0:06.195	 -0.045	 -0.095
       0:06.203	 -0.055	 -0.095
       0:06.211	 -0.035	 -0.075
       0:06.219	 -0.045	 -0.085
       0:06.227	 -0.055	 -0.085
       0:06.234	 -0.055	 -0.095
       0:06.242	 -0.045	 -0.075
       0:06.250	 -0.035	 -0.075
       0:06.258	 -0.035	 -0.085
       0:06.266	 -0.045	 -0.095
       0:06.273	 -0.025	 -0.075
       0:06.281	 -0.065	 -0.085
       0:06.289	 -0.045	 -0.085
       0:06.297	 -0.045	 -0.085
       0:06.305	  0.005	 -0.055
       0:06.313	  0.025	 -0.035
       0:06.320	  0.005	 -0.055
       0:06.328	  0.045	 -0.055
       0:06.336	  0.025	 -0.065
       0:06.344	  0.065	 -0.065
       0:06.352	  0.015	 -0.075
       0:06.359	  0.075	 -0.075
       0:06.367	 -0.015	 -0.085
       0:06.375	 -0.005	 -0.085
       0:06.383	 -0.025	 -0.105
       0:06.391	 -0.035	 -0.105
       0:06.398	 -0.065	 -0.105
       0:06.406	 -0.075	 -0.125
       0:06.414	 -0.085	 -0.135
       0:06.422	 -0.075	 -0.125
       0:06.430	 -0.055	 -0.105
       0:06.438	 -0.075	 -0.105
       0:06.445	 -0.065	 -0.115
       0:06.453	 -0.035	 -0.105
       0:06.461	 -0.045	 -0.085
       0:06.469	 -0.045	 -0.085
       0:06.477	 -0.005	 -0.075
       0:06.484	  0.015	 -0.055
       0:06.492	  0.075	  0.095
       0:06.500	  0.385	  0.275
       0:06.508	  1.035	  0.325
       0:06.516	  1.345	 -0.005
       0:06.523	  0.625	 -0.385
       0:06.531	 -0.355	 -0.805
       0:06.539	 -0.415	 -0.465
       0:06.547	 -0.145	 -0.065
       0:06.555	 -0.065	  0.015
       0:06.563	 -0.075	 -0.035
       0:06.570	 -0.085	 -0.055
       0:06.578	 -0.115	 -0.055
       0:06.586	 -0.085	 -0.035
       0:06.594	 -0.125	 -0.045
       0:06.602	 -0.095	 -0.065
       0:06.609	 -0.105	 -0.055
       0:06.617	 -0.115	 -0.035
       0:06.625	 -0.115	 -0.045
       0:06.633	 -0.105	 -0.045
       0:06.641	 -0.115	 -0.045
       0:06.648	 -0.115	 -0.035
       0:06.656	 -0.105	 -0.035
       0:06.664	 -0.105	 -0.035
       0:06.672	 -0.085	 -0.025
       0:06.680	 -0.105	 -0.015
       0:06.688	 -0.105	 -0.015
       0:06.695	 -0.125	 -0.025
       0:06.703	 -0.125	 -0.025
       0:06.711	 -0.105	 -0.015
       0:06.719	 -0.115	 -0.015
       0:06.727	 -0.115	 -0.025
       0:06.734	 -0.115	 -0.025
       0:06.742	 -0.145	 -0.025
       0:06.750	 -0.125	 -0.035
       0:06.758	 -0.135	 -0.055
       0:06.766	 -0.155	 -0.065
       0:06.773	 -0.125	 -0.065
       0:06.781	 -0.115	 -0.075
       0:06.789	 -0.065	 -0.075
       0:06.797	 -0.075	 -0.075
       0:06.805	 -0.045	 -0.075
       0:06.813	 -0.045	 -0.075
       0:06.820	  0.005	 -0.075
       0:06.828	 -0.035	 -0.095
       0:06.836	 -0.065	 -0.095
       0:06.844	 -0.045	 -0.095
       0:06.852	 -0.075	 -0.115
       0:06.859	 -0.055	 -0.105
       0:06.867	 -0.055	 -0.105
       0:06.875	 -0.065	 -0.105
       0:06.883	 -0.065	 -0.115
       0:06.891	 -0.055	 -0.105
       0:06.898	 -0.055	 -0.105
       0:06.906	 -0.065	 -0.095
       0:06.914	 -0.075	 -0.105
       0:06.922	 -0.065	 -0.105
       0:06.930	 -0.035	 -0.095
       0:06.938	 -0.075	 -0.095
       0:06.945	 -0.055	 -0.105
       0:06.953	 -0.025	 -0.085
       0:06.961	 -0.035	 -0.085
       0:06.969	 -0.045	 -0.085
       0:06.977	 -0.055	 -0.095
       0:06.984	 -0.055	 -0.095
       0:06.992	 -0.015	 -0.085
       0:07.000	 -0.025	 -0.095
       0:07.008	 -0.045	 -0.105
       0:07.016	 -0.015	 -0.105
       0:07.023	 -0.045	 -0.085
       0:07.031	 -0.025	 -0.105
       0:07.039	 -0.035	 -0.105
       0:07.047	 -0.055	 -0.105
       0:07.055	 -0.025	 -0.095
       0:07.063	 -0.025	 -0.095
       0:07.070	 -0.055	 -0.115
       0:07.078	 -0.045	 -0.115
       0:07.086	 -0.035	 -0.095
       0:07.094	 -0.025	 -0.105
       0:07.102	 -0.045	 -0.125
       0:07.109	 -0.015	 -0.115
       0:07.117	 -0.045	 -0.105
       0:07.125	 -0.055	 -0.105
       0:07.133	 -0.045	 -0.115
       0:07.141	 -0.035	 -0.115
       0:07.148	 -0.025	 -0.105
       0:07.156	 -0.045	 -0.115
       0:07.164	 -0.055	 -0.115
       0:07.172	 -0.045	 -0.115
       0:07.180	 -0.035	 -0.105
       0:07.188	 -0.025	 -0.105
       0:07.195	 -0.055	 -0.115
       0:07.203	 -0.045	 -0.105
       0:07.211	 -0.035	 -0.085
       0:07.219	 -0.005	 -0.065
       0:07.227	  0.035	 -0.075
       0:07.234	  0.015	 -0.075
       0:07.242	  0.035	 -0.075
       0:07.250	  0.055	 -0.085
       0:07.258	  0.025	 -0.095
       0:07.266	  0.005	 -0.095
       0:07.273	  0.025	 -0.095
       0:07.281	  0.005	 -0.105
       0:07.289	  0.005	 -0.115
       0:07.297	 -0.015	 -0.125
       0:07.305	 -0.035	 -0.125
       0:07.313	 -0.045	 -0.135
       0:07.320	 -0.065	 -0.135
       0:07.328	 -0.085	 -0.125
       0:07.336	 -0.075	 -0.125
       0:07.344	 -0.085	 -0.125
       0:07.352	 -0.035	 -0.115
       0:07.359	 -0.035	 -0.115
       0:07.367	 -0.055	 -0.105
       0:07.375	 -0.025	 -0.105
       0:07.383	 -0.015	 -0.095
       0:07.391	 -0.015	 -0.075
       0:07.398	  0.065	 -0.005
       0:07.406	  0.135	  0.185
       0:07.414	  0.665	  0.315
       0:07.422	  1.325	  0.255
       0:07.430	  1.105	 -0.115
       0:07.438	  0.235	 -0.555
       0:07.445	 -0.445	 -0.685
       0:07.453	 -0.285	 -0.235
       0:07.461	 -0.055	 -0.025
       0:07.469	 -0.055	 -0.035
       0:07.477	 -0.065	 -0.055
       0:07.484	 -0.065	 -0.065
       0:07.492	 -0.105	 -0.055
       0:07.500	 -0.075	 -0.055
       0:07.508	 -0.085	 -0.055
       0:07.516	 -0.075	 -0.055
       0:07.523	 -0.055	 -0.045
       0:07.531	 -0.095	 -0.055
       0:07.539	 -0.075	 -0.045
       0:07.547	 -0.075	 -0.035
       0:07.555	 -0.075	 -0.025
       0:07.563	 -0.085	 -0.035
       0:07.570	 -0.055	 -0.035
       0:07.578	 -0.085	 -0.025
       0:07.586	 -0.065	 -0.015
       0:07.594	 -0.095	 -0.025
       0:07.602	 -0.085	 -0.025
       0:07.609	 -0.115	 -0.015
       0:07.617	 -0.105	 -0.005
       0:07.625	 -0.105	 -0.005
       0:07.633	 -0.085	 -0.015
       0:07.641	 -0.105	 -0.015
       0:07.648	 -0.115	 -0.005
       0:07.656	 -0.115	 -0.025
       0:07.664	 -0.135	 -0.045
       0:07.672	 -0.105	 -0.055
       0:07.680	 -0.115	 -0.055
       0:07.688	 -0.105	 -0.055
       0:07.695	 -0.075	 -0.065
       0:07.703	 -0.085	 -0.065
       0:07.711	 -0.055	 -0.045
       0:07.719	 -0.035	 -0.055
       0:07.727	 -0.015	 -0.065
       0:07.734	 -0.025	 -0.075
       0:07.742	 -0.035	 -0.075
       0:07.750	 -0.055	 -0.085
       0:07.758	 -0.035	 -0.085
       0:07.766	 -0.065	 -0.085
       0:07.773	 -0.025	 -0.085
       0:07.781	 -0.075	 -0.095
       0:07.789	 -0.055	 -0.095
       0:07.797	 -0.045	 -0.095
       0:07.805	 -0.055	 -0.085
       0:07.813	 -0.065	 -0.085
       0:07.820	 -0.055	 -0.095
       0:07.828	 -0.065	 -0.085
       0:07.836	 -0.045	 -0.075
       0:07.844	 -0.055	 -0.075
       0:07.852	 -0.055	 -0.085
       0:07.859	 -0.035	 -0.065
       0:07.867	 -0.025	 -0.065
       0:07.875	 -0.025	 -0.065
       0:07.883	 -0.035	 -0.085
       0:07.891	 -0.025	 -0.075
       0:07.898	 -0.025	 -0.065
       0:07.906	 -0.025	 -0.075
       0:07.914	 -0.025	 -0.085
       0:07.922	 -0.015	 -0.075
       0:07.930	 -0.035	 -0.075
       0:07.938	 -0.035	 -0.075
       0:07.945	 -0.025	 -0.085
       0:07.953	 -0.035	 -0.095
       0:07.961	 -0.025	 -0.075
       0:07.969	 -0.015	 -0.075
       0:07.977	 -0.045	 -0.085
       0:07.984	 -0.035	 -0.095
       0:07.992	 -0.005	 -0.085
       0:08.000	 -0.045	 -0.085
       0:08.008	 -0.045	 -0.085
       0:08.016	 -0.055	 -0.095
       0:08.023	 -0.035	 -0.075
       0:08.031	 -0.045	 -0.085
       0:08.039	 -0.055	 -0.095
       0:08.047	 -0.025	 -0.085
       0:08.055	 -0.005	 -0.085
       0:08.063	 -0.035	 -0.085
       0:08.070	 -0.045	 -0.095
       0:08.078	 -0.045	 -0.085
       0:08.086	 -0.045	 -0.075
       0:08.094	 -0.015	 -0.075
       0:08.102	 -0.045	 -0.075
       0:08.109	  0.025	 -0.055
       0:08.117	  0.035	 -0.035
       0:08.125	  0.015	 -0.045
       0:08.133	  0.015	 -0.055
       0:08.141	  0.055	 -0.075
       0:08.148	  0.045	 -0.055
       0:08.156	  0.035	 -0.065
       0:08.164	  0.015	 -0.085
       0:08.172	  0.015	 -0.095
       0:08.180	  0.045	 -0.085
       0:08.188	 -0.035	 -0.095
       0:08.195	 -0.055	 -0.115
       0:08.203	 -0.065	 -0.115
       0:08.211	 -0.075	 -0.115
       0:08.219	 -0.075	 -0.115
       0:08.227	 -0.095	 -0.115
       0:08.234	 -0.055	 -0.115
       0:08.242	 -0.055	 -0.105
       0:08.250	 -0.055	 -0.105
       0:08.258	 -0.065	 -0.105
       0:08.266	 -0.045	 -0.095
       0:08.273	 -0.035	 -0.075
       0:08.281	 -0.035	 -0.075
       0:08.289	  0.005	 -0.055
       0:08.297	  0.085	  0.105
       0:08.305	  0.445	  0.305
       0:08.313	  1.135	  0.365
       0:08.320	  1.305	 -0.115
       0:08.328	  0.465	 -0.505
       0:08.336	 -0.425	 -0.805
       0:08.344	 -0.365	 -0.315
       0:08.352	 -0.135	 -0.015
       0:08.359	 -0.065	 -0.005
       0:08.367	 -0.085	 -0.035
       0:08.375	 -0.095	 -0.045
       0:08.383	 -0.095	 -0.055
       0:08.391	 -0.115	 -0.035
       0:08.398	 -0.115	 -0.035
       0:08.406	 -0.095	 -0.035
       0:08.414	 -0.095	 -0.035
       0:08.422	 -0.075	 -0.035
       0:08.430	 -0.105	 -0.015
       0:08.438	 -0.085	 -0.035
       0:08.445	 -0.095	 -0.035
       0:08.453	 -0.105	 -0.025
       0:08.461	 -0.085	 -0.015
       0:08.469	 -0.085	 -0.015
       0:08.477	 -0.105	 -0.015
       0:08.484	 -0.095	 -0.015
       0:08.492	 -0.085	  0.005
       0:08.500	 -0.105	  0.005
       0:08.508	 -0.105	 -0.005
       0:08.516	 -0.115	 -0.005
       0:08.523	 -0.105	  0.005
       0:08.531	 -0.135	 -0.015
       0:08.539	 -0.095	 -0.025
       0:08.547	 -0.115	 -0.025
       0:08.555	 -0.125	 -0.025
       0:08.563	 -0.145	 -0.045
       0:08.570	 -0.135	 -0.065
       0:08.578	 -0.125	 -0.055
       0:08.586	 -0.095	 -0.055
       0:08.594	 -0.065	 -0.055
       0:08.602	 -0.055	 -0.055
       0:08.609	 -0.005	 -0.055
       0:08.617	 -0.025	 -0.045
       0:08.625	 -0.035	 -0.055
       0:08.633	 -0.035	 -0.075
       0:08.641	 -0.065	 -0.085
       0:08.648	 -0.065	 -0.075
       0:08.656	 -0.075	 -0.085
       0:08.664	 -0.055	 -0.085
       0:08.672	 -0.045	 -0.085
       0:08.680	 -0.085	 -0.085
       0:08.688	 -0.065	 -0.085
       0:08.695	 -0.075	 -0.095
       0:08.703	 -0.055	 -0.085
       0:08.711	 -0.085	 -0.075
       0:08.719	 -0.085	 -0.085
       0:08.727	 -0.065	 -0.075
       0:08.734	 -0.065	 -0.075
       0:08.742	 -0.035	 -0.075
       0:08.750	 -0.065	 -0.075
       0:08.758	 -0.065	 -0.075
       0:08.766	 -0.045	 -0.075
       0:08.773	 -0.045	 -0.065
       0:08.781	 -0.035	 -0.065
       0:08.789	 -0.035	 -0.075
       0:08.797	 -0.035	 -0.075
       0:08.805	 -0.025	 -0.055
       0:08.813	 -0.025	 -0.065
       0:08.820	 -0.055	 -0.075
       0:08.828	 -0.035	 -0.075
       0:08.836	 -0.055	 -0.065
       0:08.844	 -0.035	 -0.075
       0:08.852	 -0.035	 -0.085
       0:08.859	 -0.035	 -0.085
       0:08.867	 -0.035	 -0.085
       0:08.875	 -0.045	 -0.085
       0:08.883	 -0.055	 -0.095
       0:08.891	 -0.055	 -0.095
       0:08.898	 -0.035	 -0.085
       0:08.906	 -0.035	 -0.085
       0:08.914	 -0.055	 -0.095
       0:08.922	 -0.065	 -0.095
       0:08.930	 -0.035	 -0.085
       0:08.938	 -0.035	 -0.085
       0:08.945	 -0.055	 -0.095
       0:08.953	 -0.045	 -0.085
       0:08.961	 -0.025	 -0.065
       0:08.969	 -0.045	 -0.075
       0:08.977	 -0.035	 -0.085
       0:08.984	 -0.035	 -0.085
       0:08.992	  0.005	 -0.035
       0:09.000	 -0.015	 -0.045
       0:09.008	  0.015	 -0.055
       0:09.016	  0.025	 -0.055
       0:09.023	  0.055	 -0.045
       0:09.031	  0.045	 -0.055
       0:09.039	  0.035	 -0.065
       0:09.047	  0.025	 -0.085
       0:09.055	  0.005	 -0.075
       0:09.063	 -0.005	 -0.085
       0:09.070	 -0.015	 -0.095
       0:09.078	 -0.065	 -0.105
       0:09.086	 -0.085	 -0.105
       0:09.094	 -0.095	 -0.105
       0:09.102	 -0.065	 -0.105
       0:09.109	 -0.075	 -0.105
       0:09.117	 -0.085	 -0.095
       0:09.125	 -0.065	 -0.095
       0:09.133	 -0.065	 -0.095
       0:09.141	 -0.065	 -0.085
       0:09.148	 -0.035	 -0.065
       0:09.156	 -0.025	 -0.065
       0:09.164	 -0.045	 -0.065
       0:09.172	  0.025	 -0.005
       0:09.180	  0.105	  0.175
       0:09.188	  0.575	  0.365
       0:09.195	  1.285	  0.405
       0:09.203	  1.245	 -0.035
       0:09.211	  0.425	 -0.435
       0:09.219	 -0.485	 -0.775
       0:09.227	 -0.345	 -0.285
       0:09.234	 -0.105	  0.005
       0:09.242	 -0.085	  0.005
       0:09.250	 -0.095	 -0.025
       0:09.258	 -0.105	 -0.045
       0:09.266	 -0.115	 -0.045
       0:09.273	 -0.085	 -0.025
       0:09.281	 -0.125	 -0.035
       0:09.289	 -0.095	 -0.035
       0:09.297	 -0.105	 -0.035
       0:09.305	 -0.085	 -0.025
       0:09.313	 -0.115	 -0.025
       0:09.320	 -0.105	 -0.025
       0:09.328	 -0.105	 -0.015
       0:09.336	 -0.105	 -0.015
       0:09.344	 -0.115	 -0.005
       0:09.352	 -0.115	 -0.015
       0:09.359	 -0.095	 -0.005
       0:09.367	 -0.105	 -0.005
       0:09.375	 -0.105	  0.005
       0:09.383	 -0.135	 -0.005
       0:09.391	 -0.125	 -0.005
       0:09.398	 -0.105	  0.015
       0:09.406	 -0.135	  0.005
       0:09.414	 -0.155	 -0.005
       0:09.422	 -0.105	 -0.005
       0:09.430	 -0.165	 -0.005
       0:09.438	 -0.155	 -0.015
       0:09.445	 -0.135	 -0.035
       0:09.453	 -0.155	 -0.045
       0:09.461	 -0.155	 -0.035
       0:09.469	 -0.135	 -0.045
       0:09.477	 -0.115	 -0.055
       0:09.484	 -0.065	 -0.045
       0:09.492	 -0.035	 -0.045
       0:09.500	 -0.055	 -0.055
       0:09.508	 -0.055	 -0.055
       0:09.516	 -0.035	 -0.065
       0:09.523	 -0.055	 -0.065
       0:09.531	 -0.065	 -0.065
       0:09.539	 -0.065	 -0.085
       0:09.547	 -0.085	 -0.085
       0:09.555	 -0.055	 -0.075
       0:09.563	 -0.075	 -0.075
       0:09.570	 -0.095	 -0.095
       0:09.578	 -0.075	 -0.085
       0:09.586	 -0.095	 -0.075
       0:09.594	 -0.035	 -0.065
       0:09.602	 -0.075	 -0.085
       0:09.609	 -0.065	 -0.085
       0:09.617	 -0.055	 -0.065
       0:09.625	 -0.055	 -0.065
       0:09.633	 -0.055	 -0.065
       0:09.641	 -0.035	 -0.075
       0:09.648	 -0.045	 -0.065
       0:09.656	 -0.045	 -0.065
       0:09.664	 -0.025	 -0.065
       0:09.672	 -0.055	 -0.075
       0:09.680	 -0.035	 -0.065
       0:09.688	 -0.025	 -0.055
       0:09.695	 -0.035	 -0.075
       0:09.703	 -0.035	 -0.075
       0:09.711	 -0.035	 -0.065
       0:09.719	 -0.025	 -0.065
       0:09.727	 -0.045	 -0.075
       0:09.734	 -0.065	 -0.075
       0:09.742	 -0.055	 -0.065
       0:09.750	 -0.035	 -0.075
       0:09.758	 -0.065	 -0.085
       0:09.766	 -0.025	 -0.085
       0:09.773	 -0.065	 -0.065
       0:09.781	 -0.045	 -0.075
       0:09.789	 -0.065	 -0.095
       0:09.797	 -0.055	 -0.095
       0:09.805	 -0.055	 -0.085
       0:09.813	 -0.035	 -0.075
       0:09.820	 -0.065	 -0.095
       0:09.828	 -0.045	 -0.095
       0:09.836	 -0.075	 -0.095
       0:09.844	 -0.045	 -0.085
       0:09.852	 -0.075	 -0.095
       0:09.859	 -0.045	 -0.085
       0:09.867	 -0.035	 -0.085
       0:09.875	 -0.045	 -0.085
       0:09.883	 -0.065	 -0.075
       0:09.891	 -0.015	 -0.065
       0:09.898	  0.005	 -0.035
       0:09.906	 -0.005	 -0.045
       0:09.914	  0.015	 -0.055
       0:09.922	  0.015	 -0.065
       0:09.930	  0.035	 -0.055
       0:09.938	  0.045	 -0.065
       0:09.945	  0.015	 -0.075
       0:09.953	  0.005	 -0.095
       0:09.961	 -0.005	 -0.085
       0:09.969	 -0.035	 -0.095
       0:09.977	 -0.085	 -0.105
       0:09.984	 -0.085	 -0.115
       0:09.992	 -0.095	 -0.115
